,0
TMTC4,17.125266449628075
TNFRSF18,2.2394229650334547
TNFSF18,2.9922210514280247
TOB2P1,2.4777080884643414
TRMT10A,2.0103795356075884
TRPM3,3.882032797648803
TSHB,3.1653573960675305
TSPY8,3.044045611585698
TTC12,2.081122563718377
TTTY17A,10.803177197829317
TTTY18,3.621339710037849
TTTY4B,2.8049300399526222
TTTY7B,4.663100903978871
TVP23A,9.952066689779267
UBXN10,2.411495518797717
VHLL,2.1528893950882786
DNAI3,2.14499974793297
WIF1,2.3518853609000145
WNT3A,2.036433864238496
XAGE1B,3.901883548604324
ZKSCAN7,5.057248408321326
ZNF385B,2.7420023178325903
ZNF639,2.535879460137382
ZNF678,2.1600355848917854
ZSCAN31,3.525238351516024
ANXA8L1,17.4540684594672
RIC1,2.159669083844655
CNTN1,7.113489439067143
LINC01547,13.76561942875759
BCO1,4.0280134385891415
PMEL,2.3687054782276373
ERICH4,2.4623366256159698
CLK2P1,2.645558650549086
