,Gene_x
148356,ENSG00000244063.1
148402,ENSG00000244491.1
457877,ENSG00000245008.4
86559,ENSG00000245156.1
86562,ENSG00000245261.1
148458,ENSG00000245385.2
148461,ENSG00000245482.2
148485,ENSG00000245869.2
148497,ENSG00000246130.1
148511,ENSG00000246331.2
148546,ENSG00000247033.1
272334,ENSG00000247228.3
148561,ENSG00000247324.2
86676,ENSG00000247372.2
148611,ENSG00000248138.5
86736,ENSG00000248187.1
96239,ENSG00000248206.2
829411,ENSG00000248254.1
643781,ENSG00000248373.7
148703,ENSG00000248469.1
458160,ENSG00000248516.1
643834,ENSG00000248544.2
148756,ENSG00000248664.3
24996,ENSG00000248710.1
962423,ENSG00000248773.1
148811,ENSG00000248839.1
148838,ENSG00000248943.1
396396,ENSG00000248968.1
148845,ENSG00000248969.1
86964,ENSG00000248993.1
95466,ENSG00000249007.1
148881,ENSG00000249094.2
148888,ENSG00000249109.1
272689,ENSG00000249180.1
148931,ENSG00000249240.2
148935,ENSG00000249258.2
272739,ENSG00000249359.3
396540,ENSG00000249426.1
159196,ENSG00000249456.1
149001,ENSG00000249474.1
149002,ENSG00000249478.1
25260,ENSG00000249602.1
953581,ENSG00000249604.1
891704,ENSG00000249635.1
158269,ENSG00000249881.1
149138,ENSG00000249894.1
272982,ENSG00000250101.1
272985,ENSG00000250105.1
95300,ENSG00000250135.1
891885,ENSG00000250158.1
87360,ENSG00000250240.6
149256,ENSG00000250258.1
396816,ENSG00000250274.2
97610,ENSG00000250280.2
149281,ENSG00000250338.1
87457,ENSG00000250519.7
273176,ENSG00000250685.7
706396,ENSG00000250696.5
87518,ENSG00000250698.1
149434,ENSG00000250790.4
87595,ENSG00000250950.1
149497,ENSG00000250992.4
149501,ENSG00000251009.2
149502,ENSG00000251010.1
149528,ENSG00000251095.8
273317,ENSG00000251148.1
87660,ENSG00000251171.1
25827,ENSG00000251309.1
273407,ENSG00000251379.1
149641,ENSG00000251408.1
87754,ENSG00000251409.2
644756,ENSG00000251434.1
149661,ENSG00000251458.1
273461,ENSG00000251537.4
892347,ENSG00000251556.1
149721,ENSG00000251652.1
149726,ENSG00000251665.1
113617,ENSG00000252690.3
892393,ENSG00000253102.1
892400,ENSG00000253112.1
892409,ENSG00000253130.2
87879,ENSG00000253154.4
149778,ENSG00000253172.1
521108,ENSG00000253177.2
149787,ENSG00000253190.4
149804,ENSG00000253227.2
901521,ENSG00000253355.1
963429,ENSG00000253372.5
149892,ENSG00000253389.2
211828,ENSG00000253474.2
96931,ENSG00000253475.1
273717,ENSG00000253476.1
645119,ENSG00000253619.1
129454,ENSG00000253645.1
954610,ENSG00000253706.5
211966,ENSG00000253730.1
645188,ENSG00000253737.1
150088,ENSG00000253744.1
892773,ENSG00000253796.4
273908,ENSG00000253824.2
273932,ENSG00000253872.1
150162,ENSG00000253880.1
150204,ENSG00000253965.3
150212,ENSG00000253980.1
397807,ENSG00000254054.3
274048,ENSG00000254092.4
88424,ENSG00000254186.3
521668,ENSG00000254242.2
88476,ENSG00000254295.1
397928,ENSG00000254317.1
500983,ENSG00000254343.2
397950,ENSG00000254367.5
336072,ENSG00000254396.1
150418,ENSG00000254420.1
159315,ENSG00000254460.1
769321,ENSG00000254477.2
97414,ENSG00000254484.1
212354,ENSG00000254545.1
893154,ENSG00000254607.3
88639,ENSG00000254675.1
150537,ENSG00000254694.1
398111,ENSG00000254756.1
150572,ENSG00000254804.1
460014,ENSG00000254810.2
274351,ENSG00000254812.3
97430,ENSG00000254826.1
88717,ENSG00000254865.1
460070,ENSG00000254933.1
150644,ENSG00000254972.1
88762,ENSG00000254988.1
522000,ENSG00000255038.1
150687,ENSG00000255084.1
150689,ENSG00000255089.1
97347,ENSG00000255097.1
150695,ENSG00000255101.1
274474,ENSG00000255108.1
274476,ENSG00000255114.1
150705,ENSG00000255126.1
150715,ENSG00000255148.2
88892,ENSG00000255306.1
150787,ENSG00000255320.2
274566,ENSG00000255325.2
150810,ENSG00000255367.4
274589,ENSG00000255375.3
27041,ENSG00000255389.1
522168,ENSG00000255438.2
893497,ENSG00000255439.6
35537,ENSG00000255440.2
522172,ENSG00000255446.1
460299,ENSG00000255478.1
831632,ENSG00000255487.1
88977,ENSG00000255491.4
212791,ENSG00000255595.5
831680,ENSG00000255641.1
212806,ENSG00000255655.1
89039,ENSG00000255680.1
919250,ENSG00000255723.1
27162,ENSG00000255750.6
221311,ENSG00000255790.6
89063,ENSG00000255829.1
522284,ENSG00000255843.1
522289,ENSG00000255856.2
212863,ENSG00000255921.1
398534,ENSG00000255946.3
769866,ENSG00000255959.1
406943,ENSG00000256020.3
114757,ENSG00000256028.2
